Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-04-29,71.2427,75.5359,70.8961,74.8049,809192.72
2020-04-30,74.9971,76.3447,72.9757,74.1117,788920.26
2020-05-04,72.2049,72.4942,70.3951,71.2427,566956.29
2020-05-05,72.2049,73.3796,71.4932,72.0709,346034.68
2020-05-06,72.2049,72.301,70.665,71.2427,538121.44
2020-05-07,71.3777,73.0718,70.3757,72.3786,435487.09
2020-05-08,73.2252,74.4194,73.1874,74.1311,360006.63
2020-05-11,74.4961,74.9971,71.8398,72.532,440884.29
2020-05-12,71.8398,73.765,71.666,72.8214,322479.61
2020-05-13,72.2049,72.7058,71.0495,71.0495,411627.14
2020-05-14,70.665,71.5311,68.4117,69.3165,731858.26
2020-05-15,70.2796,72.0126,69.9718,70.0485,593181.12
2020-05-18,71.7243,78.2709,71.7243,78.0971,2301919.19
2020-05-19,78.733,80.8505,77.3466,79.8107,943259.58
2020-05-20,79.8107,80.4078,78.2515,80.0029,609611.68
2020-05-21,80.0029,80.1961,77.8854,78.0777,489544.58
2020-05-22,76.0563,77.3466,75.1709,76.9417,442017.29
2020-05-25,77.7893,78.232,77.1534,77.4427,188974.1
2020-05-26,79.0408,82.1602,78.5204,82.0252,884820.47
2020-05-27,82.0252,85.5485,81.0427,82.1408,1311231.2
2020-05-28,83.2767,83.6233,81.1777,82.1981,966198.71
2020-05-29,81.833,83.7583,81.833,83.065,1257902.95
2020-06-01,85.0097,85.5485,83.2767,84.1621,501382.37
2020-06-02,84.3359,85.4913,83.6621,84.8175,702566.09
2020-06-03,85.0097,86.4728,84.4126,84.5864,800212.15
2020-06-04,84.5282,85.799,83.835,84.9136,642849.78
2020-06-05,85.6835,88.8602,85.4718,88.1097,1065720.4
2020-06-08,88.1097,88.2825,86.2806,87.4165,621438.14
2020-06-09,87.4165,87.9942,84.3359,85.3175,737348.16
2020-06-10,85.6835,86.9155,84.3165,86.5495,640734.16
2020-06-12,82.6796,85.6835,81.3515,84.1427,748652.41
2020-06-15,81.8903,82.468,80.1961,81.7359,818095.01
2020-06-16,83.7583,86.4155,83.3534,84.4515,816782.79
2020-06-17,85.4524,85.7223,82.7379,83.5845,625397.46
2020-06-18,83.7583,85.6641,83.0068,83.2767,743924.71
2020-06-19,84.2398,85.2408,83.8544,84.6243,1029229.56
2020-06-22,84.6049,84.6825,83.1029,83.6806,320110.61
2020-06-23,83.3155,86.6078,83.3155,86.5495,587899.28
2020-06-24,86.5117,88.2641,85.0485,85.2602,516236
2020-06-25,84.933,86.7233,84.6631,86.5117,443365.56
2020-06-26,86.6466,87.4553,85.1058,85.3757,571674.72
2020-06-29,85.2981,87.0893,85.2981,87.0893,385749.42
2020-06-30,87.1272,87.8204,86.2612,87.5126,894390.2
2020-07-01,87.1854,89.534,87.0699,89.4961,773201.43
2020-07-02,89.5155,92.9039,89.2845,91.8262,1126196.85
2020-07-03,91.8262,92.4223,90.2272,90.7476,392174.56
2020-07-06,92.5184,94.2515,92.2107,93.3854,602507.77
2020-07-07,93.1155,93.5583,91.9408,93.3854,428985.73
2020-07-08,92.8078,93.9631,92.6728,93.5777,397880.76
2020-07-09,94.0592,98.534,94.0592,97.6214,1547794.39
2020-07-10,96.5621,98.2039,95.3107,98.2039,537442.67
2020-07-13,100.126,104.553,99.5437,103.738,1293740.77
2020-07-14,102.049,102.583,99.932,101.621,878629.14
2020-07-15,102.049,103.738,101.087,103.107,708913.98
2020-07-16,101.476,103.01,100.602,103.01,629541.15
2020-07-17,102.34,103.398,101.524,103.252,651675.85
2020-07-20,102.777,106.476,102.049,106.476,1056029.13
2020-07-21,107.252,109.796,106.961,108.786,1268382.17
2020-07-22,108.981,111.291,108.786,110.718,1338952.62
2020-07-23,111.291,115.34,111.243,114.563,1034040.69
2020-07-24,112.252,114.951,107.155,114.757,1092819.7
2020-07-27,115.427,125.738,114.66,125.544,1721067.17
2020-07-28,125.204,128.427,121.165,124.621,1614813.4
2020-07-29,121.301,128.087,121.301,126.505,1332396.67
2020-07-30,125.155,125.544,118.709,121.204,913398.85
2020-07-31,120.437,123.903,120.437,121.35,1038220.43
2020-08-03,122.078,126.553,121.301,125.301,904349.27
2020-08-04,125.301,126.117,122.65,124.621,570987.71
2020-08-05,126.117,132.476,126.117,132.087,1644372.34
2020-08-06,132.087,134.738,130.738,134.155,1188224.48
2020-08-07,133.437,134.107,130.359,130.932,678102.56
2020-08-10,130.932,134.252,130.932,132.854,525257.77
2020-08-11,131.942,134.592,126.311,127.078,741688.58
2020-08-12,122.32,129.34,121.35,129.34,986048.87
2020-08-13,129.107,129.155,127.563,128.524,408906.91
2020-08-14,128.621,129.388,126.359,127.078,413239.09
2020-08-17,127.563,130.883,127.563,130.883,563415.15
2020-08-18,130.359,132.427,130.165,130.932,726186.05
2020-08-19,132.854,134.495,132.087,133.097,610016.47
2020-08-20,129.971,130.932,125.447,129.291,738914.79
2020-08-21,129.534,130.592,127.466,128.864,488417.76
2020-08-24,129.388,133.291,129.34,132.757,384276.52
2020-08-25,132.709,133.534,128.33,128.573,269285.26
2020-08-26,129.01,132.33,128.136,132.33,423394.89
2020-08-27,132.184,132.33,129.825,130.641,519172.53
2020-08-28,131.699,132.282,130.311,131.553,362791.75
2020-08-31,131.505,133.049,130.981,131.748,758033.65
2020-09-01,132.854,134.301,130.932,131.175,665581.88
2020-09-02,131.369,134.301,130.981,133.049,662727.75
2020-09-03,133,133.291,128.184,128.184,609362.42
2020-09-04,127.078,131.175,125.252,129.485,565497.81
2020-09-07,130.447,132.33,130.447,131.893,573937.63
2020-09-08,132.379,132.951,125.35,126.262,738817.97
2020-09-09,126.117,132.854,125.825,132.282,546239.9
2020-09-10,131.126,131.845,129.243,129.825,328474.21
2020-09-11,130.262,131.369,128.476,131.369,431232.16
2020-09-14,131.893,134.107,131.272,131.748,441294.23
2020-09-15,132.282,133.243,130.165,131.223,498547.81
2020-09-16,131.223,131.417,129.155,130.165,655177.85
2020-09-17,127.175,128.67,125.971,127.078,854469.46
2020-09-18,128.33,129.728,127.806,129.058,1109611.79
2020-09-21,127.563,129.583,122.748,122.845,463445.41
2020-09-22,122.553,124.437,121.738,122.029,408829.66
2020-09-23,118.417,120.291,112.155,116.35,556174.25
2020-09-24,113.602,115.146,111.583,112.398,737936.29
2020-09-25,113.262,116.971,112.35,113.65,609633.31
2020-09-28,116.35,117.738,114.369,116.922,486865.55
2020-09-29,116.495,116.922,113.65,113.845,393548.58
2020-09-30,113.262,113.99,110.233,113.602,594395.49
2020-10-01,114.087,115.67,110.854,110.854,384828.6
2020-10-02,109.466,111,107.825,110.718,609123.46
2020-10-05,110.184,114.854,110.136,113.893,765372.4
2020-10-06,114.515,114.854,111.388,112.835,406724.34
2020-10-07,112.495,115.524,111.485,115.524,665250.22
2020-10-08,116.398,116.874,110.718,111.825,613251.7
2020-10-09,111.194,115.476,111.194,115.476,457121.21
2020-10-12,116.204,120.534,115.476,117.359,806881.4
2020-10-13,117.456,117.456,113.65,114.563,234564.99
2020-10-14,115.476,120.728,115.34,119.864,933915.42
2020-10-15,118.417,120.485,117.786,119.864,1238286.6
2020-10-16,120.485,123.854,120.194,121.641,669805.91
2020-10-19,122.272,123.66,120.291,120.34,404979.52
2020-10-20,120.146,123.427,119.718,123.427,518569.98
2020-10-21,124.097,126.359,123.515,126.311,671159.33
2020-10-22,125.738,126.699,121.981,122.359,596262.88
2020-10-23,122.078,123.757,121.495,121.786,1126845.75
2020-10-26,120.437,122.029,119.427,120.34,440478.47
2020-10-27,120.34,122.845,119.476,121.165,511979.01
2020-10-28,119.864,122.175,117.981,118.709,1261088.74
2020-10-29,118.709,120.097,113.456,113.456,882585.37
2020-10-30,110.718,113.845,109.796,113.748,634401.72
2020-11-02,113.699,116.301,112.155,115.718,356767.28
2020-11-03,116.68,126.068,116.107,126.068,825414.19
2020-11-04,123.233,123.757,118.806,123.612,723060
2020-11-05,124.194,128.136,122.748,127.369,663078.98
2020-11-06,126.117,132.806,124.816,132.709,742782.44
2020-11-09,132.709,137.194,131.272,132.33,937350.47
2020-11-10,131.078,131.893,127.757,129.631,527788.48
2020-11-12,128.913,132.854,127.175,131.893,608048.14
2020-11-13,130.981,131.699,128.718,130.495,425854.53
2020-11-16,132.854,139.505,132.854,139.505,955464.05
2020-11-17,138.398,142.825,135.748,137.282,1104877.91
2020-11-18,137.282,139.311,135.748,135.748,424725.65
2020-11-19,134.971,135.748,130.398,130.883,507538.68
2020-11-20,132.903,137.194,131.078,137.194,420267.81
2020-11-23,136.709,138.728,134.592,135.748,423826.46
2020-11-24,137.379,142.485,136.709,142.485,626570.63
2020-11-25,142.485,146.621,142.146,146.621,811506.1
2020-11-26,147.301,151.01,146.718,149.893,558266.18
2020-11-27,149.612,152.592,149.515,149.612,584649.63
2020-11-30,150.184,150.476,142.68,143.447,1219140.96
2020-12-01,144.311,151.146,144.029,151.146,504331.26
2020-12-02,151.146,158.612,148.786,158.515,735610.55
2020-12-03,158.369,161.214,155.097,160.583,566266.19
2020-12-04,160.874,168.864,160.825,168.864,668329.92
2020-12-07,168.049,170.592,164.583,170.592,673605.58
2020-12-08,168.476,177.146,166.553,177.146,862376.77
2020-12-09,176.709,184.796,176.709,178.107,1052604.38
2020-12-10,178.107,183.835,177.146,182.291,527849.25
2020-12-11,181.184,183.835,171.563,172.67,790982.32
2020-12-14,173.291,177.961,170.359,170.359,521250.04
2020-12-15,169.437,180.029,169.301,178.107,641910.42
2020-12-16,180.029,181.816,176.515,177.913,537920.59
2020-12-17,181.476,182.728,176.612,179.883,467282.16
2020-12-18,181.961,183.301,177.621,178.971,907946.03
2020-12-21,176.369,178.874,170.641,175.214,568723.77
2020-12-22,173.728,176.184,172.67,174.35,371916.52
2020-12-23,175.029,179.117,175.029,178.35,388354.29
2020-12-28,180.029,182.34,180.029,181.039,359090.96
2020-12-29,181.039,182.291,179.311,179.553,272549.33
2020-12-30,179.553,180.029,175.845,176.184,497357.13
2021-01-04,178.971,187.495,178.971,187.495,720599.33
2021-01-05,186.718,191.728,186.097,189.612,498220.27
2021-01-07,194.379,207.854,193.515,207.854,844400.18
2021-01-08,208.816,212.767,201.408,204.68,1015670.64
2021-01-11,200.437,201.311,194.67,197.845,660424.67
2021-01-12,199.194,202.175,193.515,198.32,451874.39
2021-01-13,199.194,200.058,193.893,195.534,313190.04
2021-01-14,195.146,199.67,194.67,197.359,435261.52
2021-01-15,196.883,198.515,188.699,190.67,563702.52
2021-01-18,190.816,193.893,186.388,192.641,428034.01
2021-01-19,194.282,197.845,187.922,188.311,413895.2
2021-01-20,189.66,194.67,189.66,190.767,756048.84
2021-01-21,193.223,194.951,185.476,185.476,459540.68
2021-01-22,184.272,185.66,179.981,180.854,614802.88
2021-01-25,182.922,186.67,180.175,182.874,458875.3
2021-01-26,181.282,186.194,177.816,185.184,352226.01
2021-01-27,183.738,184.942,166.214,168.524,932607.32
2021-01-28,162.65,180.029,160.922,178.35,1008119.71
2021-01-29,175.214,186.291,168.718,181.379,994541.22
2021-02-01,189.66,194.184,185.951,187.922,868344.59
2021-02-02,185.66,186.816,175.456,176.184,945247.48
2021-02-03,177.718,180.223,172.67,175.456,556801.52
2021-02-04,176.612,179.981,174.252,174.398,347357.2
2021-02-05,176.612,182.922,176.184,182.922,417348.79
2021-02-08,186.913,188.019,181.427,186.097,452872.46
2021-02-09,186.767,187.592,183.252,185.515,424243.61
2021-02-10,188.068,189.175,183.019,184.553,554307.89
2021-02-11,185.427,187.786,184.699,187.058,523889.93
2021-02-12,185.379,186.049,178.874,182.388,396951.7
2021-02-15,185.806,188.796,185.379,187.738,478781.08
2021-02-16,188.311,192.398,186.767,187.592,474547.78
2021-02-17,187.786,188.699,185.515,186.097,463075.64
2021-02-18,188.602,196.689,188.505,188.699,914462.84
2021-02-19,192.544,199.767,192.544,199.767,852263.2
2021-02-22,201.689,205.058,198.709,202.466,756300.16
2021-02-23,205.058,206.311,190.427,194.087,709887.33
2021-02-24,193.515,199.097,191.777,195.825,619364.75
2021-02-25,200.35,202.748,192.544,192.544,829131.46
2021-02-26,186.767,189.612,179.602,182.291,1219807.37
2021-03-01,186.049,187.738,182.437,187.738,552314.84
2021-03-02,186.291,189.029,185.282,187.01,442910.3
2021-03-03,188.311,191.777,183.068,184.408,470767.68
2021-03-04,182.631,184.223,176.184,179.165,642573.74
2021-03-05,179.165,180.99,176.709,178.301,556691.31
2021-03-08,179.359,180.99,177.194,180.854,512420.88
2021-03-09,179.505,184.748,178.447,181.961,697788.95
2021-03-10,182.728,185.184,181.67,182.825,449942.11
2021-03-11,185.806,187.641,181.718,184.408,433985.35
2021-03-12,182.146,183.447,179.786,182.728,353393
2021-03-15,183.252,185.427,179.981,180.417,287555.4
2021-03-16,180.515,181.67,177.34,178.631,403657
2021-03-17,179.019,179.068,174.738,177.767,740282.63
2021-03-18,178.01,183.689,176.757,182.68,521402.48
2021-03-19,181.67,181.67,177.146,177.388,863484.02
2021-03-22,175.311,179.262,174.252,174.252,421730.41
2021-03-23,173.291,174.835,168.961,170.456,420119.49
2021-03-24,169.437,170.408,165.204,168.194,615369.38
2021-03-25,165.058,167.039,159.816,160.485,796624.66
2021-03-26,163.854,170.689,163.184,170.214,765411.54
2021-03-29,170.408,176.466,169.485,174.252,650442.94
2021-03-30,173.777,180.32,173.437,174.252,825755.12
2021-03-31,176.184,183.398,175.602,183.117,894942.28
2021-04-01,182.922,186.631,181.184,183.301,386548.7
2021-04-06,188.311,193.126,188.019,192.495,598833.76
2021-04-07,192.447,192.738,188.553,190.621,356171.94
2021-04-08,191.68,192.262,187.825,191.777,559256.01
2021-04-09,191.583,191.583,184.602,184.99,582642.16
2021-04-12,183.883,184.126,178.592,179.359,638177.7
2021-04-13,178.204,184.359,177.864,179.553,570575.71
2021-04-14,182.049,188.65,181.718,188.456,525504.97
2021-04-15,190.476,193.699,188.214,193.699,553728
2021-04-16,193.32,196.689,190.913,192.068,432124.14
2021-04-19,195.534,199.573,190.816,191.291,457142.84
2021-04-20,192.544,194.184,188.981,189.612,298498.12
2021-04-21,190.476,190.476,184.893,189.466,410645.55
2021-04-22,191.01,192.262,189.66,190.233,225631.8
2021-04-23,190.233,193.515,188.359,193.417,497314.9
2021-04-26,195.825,197.262,193.99,196.971,332858.92
2021-04-27,198.903,201.214,196.592,198.417,538786.82
2021-04-28,195.631,199.282,194.184,197.359,423350.6
2021-04-29,200.252,200.534,192.641,192.641,390777.88
2021-04-30,193.699,195.728,187.35,187.35,750204.62
2021-05-04,189.66,192.932,188.456,190.233,419651.87
2021-05-05,193.029,201.592,192.495,201.592,640180.02
2021-05-06,202.175,205.544,199.097,203.621,586738.47
2021-05-07,206.99,216.136,206.126,211.99,944174.22
2021-05-10,219.602,222.204,209.01,210.359,865031.08
2021-05-11,210.835,215.456,207.466,213.058,529907.19
2021-05-12,213.243,214.883,210.359,212.961,370228.35
2021-05-13,211.806,216.903,207.184,215.456,900707.19
2021-05-14,215.175,215.456,202.466,204.097,838285.07
2021-05-17,205.447,206.99,200.35,206.126,497037.83
2021-05-18,210.932,212.282,205.058,206.029,558548.4
2021-05-19,201.117,202.942,193.515,194.476,923608.21
2021-05-20,196.971,198.126,189.563,192.068,938511.28
2021-05-21,190.379,193.893,188.311,190.621,471089.04
2021-05-24,190.524,193.602,187.922,192.165,482897.99
2021-05-25,193.893,194.854,184.553,188.553,946575.15
2021-05-26,189.126,191.534,187.058,191.388,530457.21
2021-05-27,191.388,194.184,189.854,192.544,1643269.21
2021-05-28,193.029,195.913,192.544,195.34,1514159.74
2021-05-31,196.398,198.806,193.796,194.476,350406
2021-06-01,194.951,202.942,194.951,201.019,610709.66
2021-06-02,201.117,202.078,197.553,201.689,780573.14
2021-06-04,196.398,197.262,193.029,196.689,935462.48
2021-06-07,195.913,196.01,192.835,193.893,580640.87
2021-06-08,193.223,194.087,190.427,192.641,752975.32
2021-06-09,193.126,193.515,187.738,188.068,619889.02
2021-06-10,188.699,192.359,187.107,190.049,609857.85
2021-06-11,192.068,195.243,190.476,190.476,486231.07
2021-06-14,189.563,191.437,187.252,190.184,444329.64
2021-06-15,186.767,188.262,179.117,179.117,1146805.09
2021-06-16,178.107,180.515,175.748,178.592,905493.6
2021-06-17,176.184,177.097,170.214,172.282,1194355.04
2021-06-18,171.845,176.408,171.408,173.738,1584091.59
2021-06-21,172.816,179.417,169.515,178.058,599636.13
2021-06-22,179.612,180.583,176.553,179.563,639997.71
2021-06-23,182.524,185.291,178.204,183.981,526206.4
2021-06-24,181.165,185.049,180.971,184.417,390486.39
2021-06-25,184.466,186.942,182.913,184.175,353973.92
2021-06-28,183.495,184.66,180.485,182.427,436435.72
2021-06-29,181.699,182.379,178.738,180.243,464258.08
2021-06-30,180.825,184.078,179.417,182.184,544910.17
2021-07-01,182.524,188.835,181.65,187.767,679516.75
2021-07-02,187.767,188.592,185.437,185.583,265536.06
2021-07-05,186.893,189.126,185.194,185.874,196813.43
2021-07-06,188.689,189.126,181.068,181.068,269327.49
2021-07-07,183.495,187.67,182.184,186.117,372813.65
2021-07-08,185.049,185.146,177.767,179.417,652632.72
2021-07-09,180.049,183.35,180.049,182.33,315318.02
2021-07-12,182.039,182.476,180.097,180.097,281153.95
2021-07-13,181.165,182.864,179.903,181.942,229970.16
2021-07-14,181.068,184.029,181.068,181.796,227105.73
2021-07-15,182.524,184.806,180.194,184.029,293541.76
2021-07-16,184.612,184.854,179.903,181.359,187835.95
2021-07-19,180.097,180.437,174.806,176.214,479091.11
2021-07-20,176.408,178.204,171.456,175.874,335681.12
2021-07-21,176.311,181.408,175.097,179.369,407258.91
2021-07-22,180.583,184.66,179.951,180.291,380195.66
2021-07-23,181.262,185.097,181.262,184.66,367518.42
2021-07-26,186.311,189.029,185.049,188.252,462201.17
2021-07-27,188.252,189.029,184.466,189.029,440820.43
2021-07-28,187.816,188.447,185.825,187.039,196734.12
2021-07-29,188.447,194.66,188.058,194.66,653561.78
2021-07-30,192.233,194.078,188.35,188.932,475389.29
2021-08-02,190.049,191.359,189.272,190.291,129563.7
2021-08-03,191.165,193.155,187.184,190.583,461407.04
2021-08-04,191.262,194.078,190.34,192.476,392207.52
2021-08-05,191.748,191.748,188.592,189.078,351271.2
2021-08-06,191.262,192.039,188.641,188.835,370142.86
2021-08-09,188.835,189.951,183.01,183.01,367565.8
2021-08-10,184.029,187.33,183.01,186.845,272848.03
2021-08-11,185.922,187.184,183.544,186.456,470565.8
2021-08-12,187.282,188.204,185.097,186.311,244679.59
2021-08-13,186.505,187.136,184.709,186.311,182133.87
2021-08-16,184.369,184.612,181.65,182.136,278017.6
2021-08-17,182.427,185.68,179.32,180.631,473209.81
2021-08-18,182.524,182.67,172.816,172.816,892655.68
2021-08-19,169.903,170.485,164.078,167.718,1053105.99
2021-08-20,168.641,169.126,165.146,167.282,543107.67
2021-08-23,169.709,172.816,168.155,171.99,671194.35
2021-08-24,173.301,175.631,170.922,175.34,551374.45
2021-08-25,174.709,175.194,172.67,174.854,368299.16
2021-08-26,173.495,174.126,171.942,171.942,256118.77
2021-08-27,172.816,175.728,171.262,175.728,333796.22
2021-08-30,176.699,178.058,174.612,175.437,391604.97
2021-08-31,175.728,176.893,171.602,173.107,894594.14
2021-09-01,171.845,171.845,168.107,169.272,626086.53
2021-09-02,169.612,171.311,167.379,169.854,529856.72
2021-09-03,170.68,172.864,169.369,171.65,374966.35
2021-09-06,171.602,175.534,171.117,175.534,243741.26
2021-09-07,174.563,174.563,170.291,171.553,411221.32
2021-09-08,171.408,171.553,168.204,168.204,379359.3
2021-09-09,168.35,171.65,168.35,170.825,365146.33
2021-09-10,171.893,176.117,171.553,175.146,515772.5
2021-09-13,175.728,176.408,172.039,173.058,505027.54
2021-09-14,172.33,172.379,169.369,169.369,697913.58
2021-09-15,169.515,172.961,169.126,171.65,632862.9
2021-09-16,169.903,170.583,164.66,165.971,903084.43
2021-09-17,166.99,167.864,162.524,162.767,1178915.34
2021-09-20,160.777,160.777,153.204,154.369,961240.29
2021-09-21,154.709,159.029,151.214,151.214,800895.04
2021-09-22,156.311,159.466,155.049,158.447,687899.92
2021-09-23,159.32,159.66,156.408,157.913,731511.15
2021-09-24,158.204,159.175,155.728,155.777,446204.24
2021-09-27,157.282,158.301,152.427,153.835,589720.32
2021-09-28,153.398,155.194,150.291,150.583,465331.34
2021-09-29,150.485,151.165,148.398,149.757,430782.05
2021-09-30,150.631,153.204,148.689,153.058,815122.43
2021-10-01,151.456,153.592,150.777,151.553,499529.4
2021-10-04,150.971,156.602,148.592,153.058,682838.5
2021-10-05,152.427,152.767,149.66,152.33,535712.27
2021-10-06,151.65,151.845,145.777,145.777,1033587.49
2021-10-07,147.087,153.107,147.087,150.971,1284715.91
2021-10-08,152.33,153.301,149.223,149.272,1090947.16
2021-10-11,151.068,160,150.874,160,1234445.73
2021-10-12,158.058,159.806,155.825,158.252,1040931.39
2021-10-13,158.252,161.019,156.845,157.816,967162.79
2021-10-14,162.33,164.854,160.922,162.524,1467596.53
2021-10-15,164.078,164.612,160.194,163.301,749571.17
2021-10-18,165.534,169.466,164.563,164.757,1033370.16
2021-10-19,168.447,169.126,162.282,163.107,768713.72
2021-10-20,161.65,165.777,160.291,165.485,587472.86
